ERROR [2021-01-10T15:23:22,048] : [http-nio-8080-exec-2] : ResponseExceptionHandler: manejarTodasExcepciones(): ExceptionResponseCustom [httpStatus=500 INTERNAL_SERVER_ERROR, message=INVALID_CREDENTIALS, code=SOAINT999, backendMesage=Error generico de la aplicación., fecha=2021-01-10T15:23:22.047]
ERROR [2021-01-10T15:23:33,251] : [http-nio-8080-exec-4] : ResponseExceptionHandler: manejarTodasExcepciones(): ExceptionResponseCustom [httpStatus=500 INTERNAL_SERVER_ERROR, message=INVALID_CREDENTIALS, code=SOAINT999, backendMesage=Error generico de la aplicación., fecha=2021-01-10T15:23:33.251]
ERROR [2021-01-10T15:28:47,993] : [http-nio-8080-exec-3] : ResponseExceptionHandler: manejarTodasExcepciones(): ExceptionResponseCustom [httpStatus=500 INTERNAL_SERVER_ERROR, message=INVALID_CREDENTIALS, code=SOAINT999, backendMesage=Error generico de la aplicación., fecha=2021-01-10T15:28:47.992]
ERROR [2021-01-10T15:28:55,854] : [http-nio-8080-exec-5] : ResponseExceptionHandler: manejarTodasExcepciones(): ExceptionResponseCustom [httpStatus=500 INTERNAL_SERVER_ERROR, message=INVALID_CREDENTIALS, code=SOAINT999, backendMesage=Error generico de la aplicación., fecha=2021-01-10T15:28:55.854]
ERROR [2021-01-10T15:39:33,338] : [http-nio-8080-exec-2] : ResponseExceptionHandler: manejarTodasExcepciones(): ExceptionResponseCustom [httpStatus=500 INTERNAL_SERVER_ERROR, message=INVALID_CREDENTIALS, code=SOAINT999, backendMesage=Error generico de la aplicación., fecha=2021-01-10T15:39:33.337]
ERROR [2021-01-10T15:40:01,343] : [http-nio-8080-exec-4] : ResponseExceptionHandler: manejarTodasExcepciones(): ExceptionResponseCustom [httpStatus=500 INTERNAL_SERVER_ERROR, message=INVALID_CREDENTIALS, code=SOAINT999, backendMesage=Error generico de la aplicación., fecha=2021-01-10T15:40:01.342]
ERROR [2021-01-10T15:40:05,041] : [http-nio-8080-exec-6] : ResponseExceptionHandler: manejarTodasExcepciones(): ExceptionResponseCustom [httpStatus=500 INTERNAL_SERVER_ERROR, message=INVALID_CREDENTIALS, code=SOAINT999, backendMesage=Error generico de la aplicación., fecha=2021-01-10T15:40:05.041]
ERROR [2021-01-10T15:41:40,864] : [http-nio-8080-exec-3] : ResponseExceptionHandler: manejarTodasExcepciones(): ExceptionResponseCustom [httpStatus=500 INTERNAL_SERVER_ERROR, message=INVALID_CREDENTIALS, code=SOAINT999, backendMesage=Error generico de la aplicación., fecha=2021-01-10T15:41:40.864]
ERROR [2021-01-10T15:44:42,322] : [http-nio-8080-exec-2] : ResponseExceptionHandler: manejarTodasExcepciones(): ExceptionResponseCustom [httpStatus=500 INTERNAL_SERVER_ERROR, message=INVALID_CREDENTIALS, code=SOAINT999, backendMesage=Error generico de la aplicación., fecha=2021-01-10T15:44:42.322]
ERROR [2021-01-10T15:44:49,433] : [http-nio-8080-exec-4] : ResponseExceptionHandler: manejarTodasExcepciones(): ExceptionResponseCustom [httpStatus=500 INTERNAL_SERVER_ERROR, message=INVALID_CREDENTIALS, code=SOAINT999, backendMesage=Error generico de la aplicación., fecha=2021-01-10T15:44:49.432]
ERROR [2021-01-10T15:48:54,603] : [http-nio-8080-exec-3] : ResponseExceptionHandler: manejarTodasExcepciones(): ExceptionResponseCustom [httpStatus=500 INTERNAL_SERVER_ERROR, message=INVALID_CREDENTIALS, code=SOAINT999, backendMesage=Error generico de la aplicación., fecha=2021-01-10T15:48:54.603]
